API Name,Operation,Application Name,200,400,401,408,500,Others
system-geekplus,/putawaycreation,softeon,158,,,,,
mexicocustomstoupsapps,/sprespuestaaereos,mexicocustoms,156,,,,,
b2b-global-router,/json,coyote,144,,,,,
systemsymphonyadls,/eventnotification,fgv,14,,,,,
syseims-transportationdocs,/pdf,fgv,137,,,,,
nssendemail,/emailrequest,mi qvn,1362,,,,,
geekplussofteon,/putawayorderconfirm,geekplus,133,,,,,
system-geekplusotnet,/packagebinstatus,happyreturns,130,,,,,
systemmarketo,/status,scs digital,122,,,,,
system-cora,/wweflabel/{packageid},cora,120,,,,,
system-cora,/e2krequest510,cora,12,,,,,
sysfgvcustoms,/entriesdetails/{businessid},symphony,12,,,,,
system-cora,/podprocessing,cora,115,,,,,
nsemailrequest,/sendnotification,symphony,11,,,,,
system-symphony-blob,/casaexportdata,bsis,108,,,,,
b2b-global-router,/json,mxtms,10,,,,,
sys-optoro-routerasn,/json,optoro,10,,,,,
system-cora,/dahphotosender,cora,1,,,,,
sysfgvaccountonboarding,/incrsmallpackacnts,symphony,1,,,,,
b2b-global-router,/text,draegersap,1,,,,,
systemzabis,/declaration,zabis,1,,,,,
gff-syse2k-cnvrtpkprqst,/convertprq,scs digital,1,,,,,
sysfgvshipment,/useronboarding,symphony,1,,,,,
casemanagement,/casepicklist/{sobj}/{rid},digicollab,1,,,,,
system-reverselogix,/itemmaster,softeon,1,,,,,
autostoreitemmaster,/autostoreitemmaster,softeon,1,,,,,
cfwsplus,/inventoryinquiryaccounts,symphony,1,,,,,
cfwsplus,/orderitems,symphony,1,,,,,
cfwsplus,/allordertypes,symphony,1,,,,,
cfwsplus,/searchcountry,symphony,1,,,,,
cfwsplus,/inventoryorderstatustypes,symphony,1,,,,,
cfwsplus,/orderstatuscodes,symphony,1,,,,,
cfwsplus,/orderbasics,symphony,1,,,,,
cfwsplus,/orderreffields,symphony,1,,,,,
cfwsplus,/orderhistorysearch,symphony,1,,,,,
cfwsplus,/services,symphony,1,,,,,
sysfgvcontainer,/containerlisting,symphony,1,,,,,
freightquotes,/quotebooking,temu,1,,,,,
apollofreightshipments,/api/scsenterprise/v1/shipments/air/cancel,temu,1,,,,,
apollofreightshipments,/api/scsenterprise/v1/shipments/air/getlabel,temu,1,,,,,
autostorepick,/autostorepick,softeon,1,,,,,
hpetoetps2tranx,createhpserviceorderpartsusageack,hpe,1,,,,,
hpetoetps2tranx,updatehpserviceorderack,hpe,1,,,,,
freightrates,/quotecreate,temu,1,,,,,
sysfgvcustomsfindasboard,/finsummary/{businessid},symphony,1,,,,,
insurancequote,/confirmquote,scs digital,1,,,,,
systemngfs,/ondemandbooking,scs digital,1,,,,,
syncpsasn,/json,ctdi,1,,,,,
system-geekplusotnet,/orderpriorityupdate,softeon,1,,,,,
